backbone,model_name,cell_id,order_name,task_sequence,seed,method,budget,status,total_wall_time_seconds,resumed
DistilBERT,distilbert-base-uncased,cell_098_O2_seed587_hard_example_replay_b16,O2,ag_news/rte/mrpc/sst2,587,hard_example_replay,16,PASS,12.435973644256592,False
DistilBERT,distilbert-base-uncased,cell_099_O2_seed587_hard_example_replay_b64,O2,ag_news/rte/mrpc/sst2,587,hard_example_replay,64,PASS,9.902339696884155,False
DistilBERT,distilbert-base-uncased,cell_100_O2_seed587_hard_example_replay_b256,O2,ag_news/rte/mrpc/sst2,587,hard_example_replay,256,PASS,11.649037599563599,False
BERT-base,bert-base-uncased,cell_001_O1_seed113_no_replay_b0,O1,sst2/mrpc/rte/ag_news,113,no_replay,0,PASS,13.341366529464722,False
BERT-base,bert-base-uncased,cell_002_O1_seed113_random_replay_b16,O1,sst2/mrpc/rte/ag_news,113,random_replay,16,PASS,12.3541579246521,False
BERT-base,bert-base-uncased,cell_003_O1_seed113_random_replay_b64,O1,sst2/mrpc/rte/ag_news,113,random_replay,64,PASS,15.908301830291748,False
BERT-base,bert-base-uncased,cell_004_O1_seed113_random_replay_b256,O1,sst2/mrpc/rte/ag_news,113,random_replay,256,PASS,15.979868412017822,False
BERT-base,bert-base-uncased,cell_005_O1_seed113_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,113,class_balanced_replay,16,PASS,15.512091159820557,False
BERT-base,bert-base-uncased,cell_006_O1_seed113_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,113,class_balanced_replay,64,PASS,13.13365626335144,False
BERT-base,bert-base-uncased,cell_007_O1_seed113_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,113,class_balanced_replay,256,PASS,19.56738781929016,False
BERT-base,bert-base-uncased,cell_008_O1_seed113_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,113,hard_example_replay,16,PASS,15.216144561767578,False
BERT-base,bert-base-uncased,cell_009_O1_seed113_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,113,hard_example_replay,64,PASS,15.676329135894775,False
BERT-base,bert-base-uncased,cell_010_O1_seed113_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,113,hard_example_replay,256,PASS,21.49850559234619,False
BERT-base,bert-base-uncased,cell_011_O1_seed227_no_replay_b0,O1,sst2/mrpc/rte/ag_news,227,no_replay,0,PASS,12.127572298049927,False
BERT-base,bert-base-uncased,cell_012_O1_seed227_random_replay_b16,O1,sst2/mrpc/rte/ag_news,227,random_replay,16,PASS,15.252594947814941,False
BERT-base,bert-base-uncased,cell_013_O1_seed227_random_replay_b64,O1,sst2/mrpc/rte/ag_news,227,random_replay,64,PASS,13.098901510238647,False
BERT-base,bert-base-uncased,cell_014_O1_seed227_random_replay_b256,O1,sst2/mrpc/rte/ag_news,227,random_replay,256,PASS,19.275765657424927,False
BERT-base,bert-base-uncased,cell_015_O1_seed227_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,227,class_balanced_replay,16,PASS,13.757282733917236,False
BERT-base,bert-base-uncased,cell_016_O1_seed227_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,227,class_balanced_replay,64,PASS,17.714388132095337,False
BERT-base,bert-base-uncased,cell_017_O1_seed227_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,227,class_balanced_replay,256,PASS,16.54171586036682,False
BERT-base,bert-base-uncased,cell_018_O1_seed227_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,227,hard_example_replay,16,PASS,17.932389736175537,False
BERT-base,bert-base-uncased,cell_019_O1_seed227_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,227,hard_example_replay,64,PASS,15.638520002365112,False
